intensidade_media,intensidade_desvio_padrao,area_maxima,perimetro_maximo,classe
126.34031677246094,60.01328065949144,38583.0,1533.0579988956451,NORMAL
133.58604431152344,64.20206106283737,50417.5,1113.9726506471634,NORMAL
139.86834716796875,68.17483261298969,52114.5,989.0609625577927,NORMAL
110.28678894042969,60.02355072697845,38184.5,1894.1189601421356,NORMAL
135.0304718017578,60.75393377028375,50932.0,1108.1564152240753,NORMAL
126.72227478027344,52.81779254801085,47643.0,1134.7838320732117,NORMAL
108.69956970214844,54.664990600242575,28056.0,2184.576890707016,NORMAL
112.97421264648438,61.361538024109805,28183.0,2329.748466491699,NORMAL
125.94741821289062,62.87695950172094,39099.0,1735.5676628351212,NORMAL
125.34376525878906,61.502762685919734,46329.0,1004.0731554031372,NORMAL
119.71575927734375,64.04216178250104,33091.0,2142.552505135536,NORMAL
125.98678588867188,59.335143715448815,42851.0,1560.0874358415604,NORMAL
115.50741577148438,59.16357742717172,31899.5,1947.7169362306595,NORMAL
129.8262481689453,65.68327240850948,46770.0,1051.3036031723022,NORMAL
131.3499298095703,57.825052488056926,43957.0,1109.269112944603,NORMAL
144.0539093017578,52.842958888714136,55207.0,1096.3574261665344,NORMAL
122.38398742675781,55.33790051110885,32883.0,2202.150484085083,NORMAL
120.26826477050781,67.05257944777232,38843.5,1624.3300750255585,NORMAL
105.71502685546875,62.302654238173105,42290.0,1253.2346234321594,NORMAL
162.01004028320312,50.91730023197829,54071.0,1028.1909062862396,NORMAL
117.94403076171875,61.58830269872357,30341.0,2348.184975504875,NORMAL
114.67984008789062,56.84347329830447,38136.5,1792.72199177742,NORMAL
114.76231384277344,52.337702041389626,30390.0,1980.3859864473343,NORMAL
140.82106018066406,56.6373092473359,51266.0,1154.0142812728882,NORMAL
121.83872985839844,61.431247215057276,30860.5,2053.859072804451,NORMAL
113.850830078125,69.43761357856958,40375.0,1109.1269775629044,NORMAL
120.81329345703125,55.25732034492778,33228.5,2277.5647002458572,NORMAL
117.8363037109375,60.63006304695453,39802.0,1651.141257405281,NORMAL
118.96359252929688,50.44909536675759,36559.0,1832.9890177249908,NORMAL
132.2167205810547,61.205921853676074,48914.5,1284.5655765533447,NORMAL
114.31172180175781,65.33355751151993,48532.0,1009.9898949861526,NORMAL
120.09941101074219,61.80752087816064,41331.5,1107.8548988103867,NORMAL
112.46273803710938,59.01397914556344,41094.5,1229.6782737970352,NORMAL
128.1854248046875,62.449750395249104,46164.5,1096.8843381404877,NORMAL
130.47872924804688,65.33971289721633,45416.5,1142.340180516243,NORMAL
121.85665893554688,59.18759145006286,46303.5,1390.6488353013992,NORMAL
114.60061645507812,61.86883927750515,32215.0,1449.2001321315765,NORMAL
115.36436462402344,51.68715524057348,28455.0,2376.2337436676025,NORMAL
116.26051330566406,48.10941389380323,29227.5,2091.5403139591217,NORMAL
146.94102478027344,55.215319636255025,53409.5,1124.2569205760956,NORMAL
160.29730224609375,63.44915217838389,53324.0,1083.102592587471,NORMAL
126.06901550292969,56.53797822359172,48377.5,994.8010777235031,NORMAL
115.56729125976562,65.95631433824647,41181.0,1043.3868638277054,NORMAL
121.84190368652344,58.25259236003204,35800.0,1793.7930594682693,NORMAL
116.36253356933594,54.62630861787034,33933.5,1904.971773147583,NORMAL
150.0364227294922,53.02646250691329,53427.5,1127.0853481292725,NORMAL
123.58935546875,63.252297188201624,42830.0,1236.1808001995087,NORMAL
154.35995483398438,65.84219576244573,54688.5,978.0904012918472,NORMAL
126.23060607910156,63.62091733057409,38987.5,1809.4082827568054,NORMAL
129.95399475097656,64.14299847805933,43006.5,1678.815357208252,NORMAL
116.67376708984375,69.45461994185857,45546.5,1181.5117539167404,NORMAL
135.63880920410156,62.105663122753676,50156.0,1073.3868643045425,NORMAL
119.53977966308594,58.40308383146964,38089.0,1806.5382252931595,NORMAL
130.86328125,61.642787880898865,48221.0,1223.2102373838425,NORMAL
113.81965637207031,67.13196304761287,40588.5,988.1147853136063,NORMAL
128.15000915527344,63.887342989822585,42349.0,1759.2245182991028,NORMAL
109.96116638183594,62.89086764418955,29713.0,2101.6408187150955,NORMAL
133.7342071533203,61.25332584670624,47925.5,1162.1980448961258,NORMAL
115.16236877441406,57.85105835600085,28806.0,2199.0966618061066,NORMAL
132.1765594482422,60.62093177980735,44825.0,983.0437185764313,NORMAL
88.83865356445312,65.4726950447994,16797.0,1034.2640597820282,NORMAL
117.59056091308594,55.6386184337913,29282.5,2097.1382937431335,NORMAL
119.71687316894531,69.8256536764325,39565.0,888.4751764535904,NORMAL
114.89559936523438,57.85619332976355,33807.5,1857.5748015642166,NORMAL
109.35221862792969,54.74528179826942,30483.5,2158.795145511627,NORMAL
109.86123657226562,56.654298199490114,25833.5,1973.2316592931747,NORMAL
123.32244873046875,59.404510811435074,36083.5,1563.4427734613419,NORMAL
117.45011901855469,57.382671159398726,38294.0,1453.9452996253967,NORMAL
104.72801208496094,72.14771555026482,28160.0,1762.5037350654602,NORMAL
113.4874267578125,58.28309544346607,28255.5,2210.4276171922684,NORMAL
127.74147033691406,64.88035684648754,49296.0,983.5046133995056,NORMAL
116.60394287109375,56.97492562505994,35888.0,1637.9940687417984,NORMAL
116.10835266113281,58.33049501746965,39773.5,1694.4965960979462,NORMAL
141.43772888183594,62.03729429182119,50721.0,1094.215290427208,NORMAL
117.80316162109375,61.928239552064,36781.5,1481.3006381988525,NORMAL
117.29058837890625,64.02116163813031,44218.0,1250.6660826206207,NORMAL
112.54710388183594,59.23334260528456,39231.5,1651.5260338783264,NORMAL
124.740478515625,53.9850095581874,38046.0,2483.689588904381,NORMAL
121.77128601074219,63.278909679671564,40434.0,1563.9453008174896,NORMAL
121.69721984863281,58.73300599532873,39098.5,1637.0996278524399,NORMAL
151.1490478515625,67.64594863529666,51981.0,1055.528998374939,NORMAL
122.91352844238281,56.015449159319516,40757.0,1757.0823830366135,NORMAL
122.00761413574219,58.2476312639398,37641.5,1622.2123250961304,NORMAL
121.14739990234375,56.82922427558626,38795.5,1440.388950586319,NORMAL
119.7418212890625,67.76760957653784,44420.0,1003.7888849973679,NORMAL
126.53608703613281,61.28504466372532,45581.5,1447.9625453948975,NORMAL
102.5816650390625,59.35811809352279,24750.5,1987.3981758356094,NORMAL
